2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: Volume, hid: STORAGE\Volume, cid: , problem: 0x00000000, deviceDesc:"Том", inf: C:\Windows\inf\volume.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: PCI\VEN_1022&DEV_1201&SUBSYS_00000000&REV_00, cid: PCI\VEN_1022&CC_060000, problem: 0x00000000, deviceDesc:"Стандартный главный мост PCI — ЦП", inf: C:\Windows\inf\machine.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.771
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: PCI\VEN_1002&DEV_4385&SUBSYS_143C103C&REV_41, cid: PCI\VEN_1002&DEV_4385&REV_41, problem: 0x00000000, deviceDesc:"AMD SMBus", inf: C:\Windows\inf\oem5.inf, driverDate: 1-18-2015, driverVersion: 5.12.0.31
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: PCI\VEN_1022&DEV_9601&SUBSYS_143C103C&REV_00, cid: PCI\VEN_1022&DEV_9601&REV_00, problem: 0x00000000, deviceDesc:"Стандартный главный мост PCI — ЦП", inf: C:\Windows\inf\machine.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.771
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: PrintQueue, hid: PRINTENUM\LocalPrintQueue, cid: GenPrintQueue, problem: 0x00000000, deviceDesc:"Локальная очередь печати", inf: C:\Windows\inf\printqueue.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ACPI\VEN_PNP&DEV_0000, cid: , problem: 0x00000000, deviceDesc:"Программируемый контроллер прерываний", inf: C:\Windows\inf\machine.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.771
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: AudioEndpoint, hid: MMDEVAPI\AudioEndpoints, cid: GenericAudioEndpoint, problem: 0x00000000, deviceDesc:"Конечная точка Audio", inf: C:\Windows\inf\audioendpoint.inf, driverDate: 9-14-2018, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: PrintQueue, hid: PRINTENUM\{0f4130dd-19c7-7ab6-99a1-980f03b2ee4e}, cid: GenPrintQueue, problem: 0x00000000, deviceDesc:"Локальная очередь печати", inf: C:\Windows\inf\printqueue.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: mainboard, class: System, hid: ROOT\NdisVirtualBus, cid: , problem: 0x00000000, deviceDesc:"Перечислитель виртуальных сетевых адаптеров NDIS", inf: C:\Windows\inf\ndisvirtualbus.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: cdrom, class: CDROM, hid: SCSI\CdRomhp______CDDVDW_TS-L633N_0300, cid: SCSI\CdRom, problem: 0x00000000, deviceDesc:"CD-ROM дисковод", inf: C:\Windows\inf\cdrom.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: audio, class: MEDIA, hid: HDAUDIO\FUNC_01&VEN_1002&DEV_AA01&SUBSYS_00AA0100&REV_1001, cid: HDAUDIO\FUNC_01&CTLR_VEN_1002&CTLR_DEV_AA38&VEN_1002&DEV_AA01&REV_1001, problem: 0x00000000, deviceDesc:"Устройство с поддержкой High Definition Audio", inf: C:\Windows\inf\hdaudss.inf, driverDate: 8-24-2001, driverVersion: 10.0.17763.1
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: Monitor, hid: MONITOR\LGD02AC, cid: *PNP09FF, problem: 0x00000000, deviceDesc:"Универсальный монитор PnP", inf: C:\Windows\inf\monitor.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.771
2019-12-21 13:21:56   [360DrvMgr] TID:9752	GetCurrentDeviceDriverInfo lRet:0,DeviceInfo devType: others, class: PrintQueue, hid: PRINTENUM\{133619e4-143b-463a-b809-b1f51d05f973}, cid: GenPrintQueue, problem: 0x00000000, deviceDesc:"Локальная очередь печати", inf: C:\Windows\inf\printqueue.inf, driverDate: 6-21-2006, driverVersion: 10.0.17763.1
